event	fitness	gene_ratio	kept	mean_space	plasmid_size	repetition	time	up_down_ratio
Beg	-0.06507	0.33299999999999996	True	27000.0	30000	0	0	-1.0
Del	-0.06445	0.3296482412060301	True	27000.0	29850	0	1	-1.0
Inv	-0.05773	0.32964824120603015	True	27000.0	29850	0	2	9.0
Del	-0.05773	0.32964824120603015	False	27000.0	29850	0	3	9.0
Ins	-0.05773	0.32964824120603015	False	27000.0	29850	0	4	9.0
Inv	-0.05773	0.32964824120603015	False	27000.0	29850	0	5	9.0
Ins	-0.05773	0.32964824120603015	False	27000.0	29850	0	6	9.0
Inv	-0.05773	0.32964824120603015	False	27000.0	29850	0	7	9.0
Inv	-0.05773	0.32964824120603015	False	27000.0	29850	0	8	9.0
Del	-0.05773	0.32964824120603015	False	27000.0	29850	0	9	9.0
Ins	-0.05773	0.32964824120603015	False	27000.0	29850	0	10	9.0
Inv	-0.05773	0.32964824120603015	False	27000.0	29850	0	11	9.0
Del	-0.05507	0.32626262626262625	True	27000.0	29700	0	12	9.0
Del	-0.05507	0.32626262626262625	False	27000.0	29700	0	13	9.0
Del	-0.05507	0.32626262626262625	False	27000.0	29700	0	14	9.0
Inv	-0.05507	0.32626262626262625	False	27000.0	29700	0	15	9.0
Inv	-0.05507	0.32626262626262625	False	27000.0	29700	0	16	9.0
Ins	-0.05507	0.32626262626262625	False	27000.0	29700	0	17	9.0
Del	-0.05507	0.32626262626262625	False	27000.0	29700	0	18	9.0
Ins	-0.05507	0.32626262626262625	False	27000.0	29700	0	19	9.0
Del	-0.05507	0.32626262626262625	False	27000.0	29700	0	20	9.0
Inv	-0.05507	0.32626262626262625	False	27000.0	29700	0	21	9.0
Ins	-0.05507	0.32626262626262625	False	27000.0	29700	0	22	9.0
Ins	-0.05507	0.32626262626262625	False	27000.0	29700	0	23	9.0
Inv	-0.05507	0.32626262626262625	False	27000.0	29700	0	24	9.0
Inv	-0.05507	0.32626262626262625	False	27000.0	29700	0	25	9.0
Del	-0.05507	0.32626262626262625	False	27000.0	29700	0	26	9.0
Del	-0.05507	0.32626262626262625	False	27000.0	29700	0	27	9.0
Inv	-0.05507	0.32626262626262625	False	27000.0	29700	0	28	9.0
Ins	-0.05507	0.32626262626262625	False	27000.0	29700	0	29	9.0
Ins	-0.05507	0.32626262626262625	False	27000.0	29700	0	30	9.0
Inv	-0.05507	0.32626262626262625	False	27000.0	29700	0	31	9.0
Del	-0.05507	0.32626262626262625	False	27000.0	29700	0	32	9.0
